"Año","Municipios","Subregión","Area en Pasto de Corte (Hectarea)","Area en Pasto Natural (Hectarea)","Area en Pasto Mejorado (Hectarea)","Area en Pasto Cultivo Forrajero (Hectarea)","Área en Pasto Sistema Silvopastoril (Hectárea)","Total (Hectareas)"
"2,008","Coveñas","Morrosquillo","25.00","1,300.00","500.00","2.50","null","1,827.50"
"2,008","El Roble","Sabanas","20.00","15,546.00","null","null","null","15,566.00"
"2,008","Galeras","Sabanas","50.00","29,997.00","null","null","null","30,047.00"
"2,008","Guaranda","Mojana","null","15,000.00","5,800.00","null","null","20,800.00"
"2,008","La Unión","San Jorge","25.00","20,019.00","1,328.00","null","null","21,372.00"
"2,008","Los Palmitos","Sabanas","34.50","19,488.50","null","10.00","null","19,533.00"
"2,008","Majagual","Mojana","null","52,000.00","18,000.00","null","null","70,000.00"
"2,008","Morroa","Montes de María","80.00","15,000.00","30.00","null","null","15,110.00"
"2,008","Ovejas","Montes de María","55.00","38,070.00","500.00","null","null","38,625.00"
"2,008","San Antonio de Palmito","Morrosquillo","50.00","9,782.00","6,491.00","null","null","16,323.00"
"2,008","Sampués","Sabanas","250.00","15,388.00","150.00","50.00","null","15,838.00"
"2,008","San Benito Abad","San Jorge","27.00","29,000.00","19,000.00","null","null","48,027.00"
"2,008","San Juan de Betulia","Sabanas","25.00","20,750.00","70.00","null","null","20,845.00"
"2,008","San Marcos","San Jorge","447.00","35,714.00","36,114.00","null","null","72,275.00"
"2,008","San Onofre","Morrosquillo","800.00","77,078.00","2,750.00","null","null","80,628.00"
"2,008","San Pedro","Sabanas","360.00","19,120.00","15.00","null","null","19,495.00"
"2,008","San Luis de Sincé","Sabanas","150.00","35,708.00","50.00","140.00","null","36,048.00"
"2,008","Sucre","Mojana","null","32,546.00","1,514.00","null","null","34,060.00"
"2,008","Santiago de Tolú","Golfo de Morrosquillo","68.00","18,380.00","6,590.00","null","null","25,038.00"
"2,008","Toluviejo","Golfo de Morrosquillo","155.00","23,443.00","null","null","null","23,598.00"
"2,009","Sincelejo","Sabanas","325.00","23,000.00","640.00","null","null","23,965.00"
"2,009","Buenavista","Sabanas","85.00","9,807.00","200.00","null","null","10,092.00"
"2,009","Caimito","San Jorge","null","604.00","37,568.00","null","null","38,172.00"
"2,009","Chalán","Montes de María","5.00","2,878.00","null","null","null","2,883.00"
"2,009","Colosó","Montes de María","25.00","3,800.00","null","null","12.00","3,837.00"
"2,009","Corozal","Sabanas","50.00","14,799.00","20.00","1.00","null","14,870.00"
"2,009","Coveñas","Morrosquillo","2.50","1,300.00","500.00","3.00","null","1,805.50"
"2,009","El Roble","Sabanas","20.00","15,546.00","null","null","null","15,566.00"
"2,009","Galeras","Sabanas","67.00","29,980.00","null","null","null","30,047.00"
"2,009","Guaranda","Mojana","null","14,900.00","6,000.00","null","null","20,900.00"
"2,009","La Unión","San Jorge","25.00","20,079.00","1,328.00","null","null","21,432.00"
"2,009","Los Palmitos","Sabanas","36.00","19,486.00","null","10.00","null","19,532.00"
"2,009","Majagual","Mojana","null","55,000.00","18,000.00","null","null","73,000.00"
"2,009","Morroa","Montes de María","150.00","14,500.00","530.00","null","null","15,180.00"
"2,009","Ovejas","Montes de María","55.00","10,200.00","500.00","null","null","10,755.00"
"2,009","Sampués","Sabanas","280.00","15,150.00","160.00","58.00","200.00","15,848.00"
"2,009","San Antonio de Palmito","Morrosquillo","60.00","8,663.00","7,600.00","null","null","16,323.00"
"2,009","San Benito Abad","San Jorge","30.00","30,000.00","19,000.00","null","null","49,030.00"
"2,009","San Juan de Betulia","Sabanas","30.00","20,900.00","70.00","null","null","21,000.00"
"2,009","San Marcos","San Jorge","467.00","34,612.00","37,186.00","10.00","null","72,275.00"
"2,009","San Onofre","Morrosquillo","850.00","65,328.00","2,800.00","null","1,650.00","70,628.00"
"2,009","San Pedro","Sabanas","360.00","19,120.00","50.00","null","10.00","19,540.00"
"2,009","San Luis de Sincé","Sabanas","200.00","35,500.00","50.00","140.00","null","35,890.00"
"2,009","Sucre","Mojana","null","32,600.00","1,600.00","null","null","34,200.00"
"2,009","Santiago de Tolú","Golfo de Morrosquillo","80.00","18,380.00","6,590.00","null","null","25,050.00"
"2,009","Toluviejo","Golfo de Morrosquillo","217.00","20,343.00","3,000.00","100.00","null","23,660.00"
